player_name,mins,90s,Goals,Assists,Clean_Sheets,Yellow_Cards,Red_Cards,Bonus_Points,Total_Points,Average_Points,Average_Bonus,Points_Standard_Deviation
Ben White,75,0.8333333333333334,0,0,1,0,0,1,7,7,1,NA
Bernardo Silva,59,0.6555555555555556,0,0,0,0,0,0,1,1,0,NA
Bernd Leno,180,2,0,0,1,2,0,3,14,14,3,NA
Bobby Reid,132,1.4666666666666666,0,0,1,0,0,0,5,5,0,NA
Boubacar Kamara,90,1,0,0,0,0,0,0,2,2,0,NA
Boubakary Soumare,7,0.07777777777777778,0,0,0,0,0,0,1,1,0,NA
Brenden Aaronson,62,0.6888888888888889,0,0,0,0,0,0,2,2,0,NA
Brennan Johnson,83,0.9222222222222223,0,1,1,1,0,0,4,4,0,NA
Bruno Fernandes,90,1,0,1,1,0,0,0,6,6,0,NA
Bruno Guimarães,90,1,0,0,1,1,0,0,2,2,0,NA
Bryan Gil Salvatierra,76,0.8444444444444444,0,1,1,1,0,0,5,5,0,NA
Bryan Mbeumo,87,0.9666666666666667,1,1,0,0,0,3,12,12,3,NA
Bukayo Saka,90,1,0,0,1,0,0,0,3,3,0,NA
Callum Wilson,67,0.7444444444444445,0,0,1,1,0,0,1,1,0,NA
Carlos Vinicius,90,1,1,0,0,0,0,3,9,9,3,NA
Carney Chukwuemeka,79,0.8777777777777778,0,0,0,0,0,0,3,3,0,NA
Casemiro,90,1,1,0,1,0,0,2,10,10,2,NA
César Azpilicueta,180,2,0,0,0,0,0,0,3,3,0,NA
Che Adams,90,1,0,0,0,0,0,0,2,2,0,NA
Cheick Oumar Doucoure,90,1,0,0,0,0,0,0,2,2,0,NA
Chris Mepham,90,1,0,0,0,0,0,0,1,1,0,NA
Chris Wood,22,0.24444444444444444,0,0,0,0,0,0,1,1,0,NA
Christian Eriksen,67,0.7444444444444445,0,1,1,0,0,0,6,6,0,NA
Christian Nørgaard,90,1,0,1,0,0,0,0,5,5,0,NA
Christian Pulisic,21,0.23333333333333334,0,0,0,0,0,0,1,1,0,NA
Clement Lenglet,85,0.9444444444444444,0,0,1,0,0,0,6,6,0,NA
Conor Coady,90,1,0,0,0,0,0,0,0,0,0,NA
Conor Gallagher,32,0.35555555555555557,0,0,0,0,0,0,2,2,0,NA
Craig Dawson,90,1,0,0,0,0,0,0,1,1,0,NA
Cristian Romero,90,1,0,0,1,0,0,0,6,6,0,NA
Crysencio Summerville,62,0.6888888888888889,0,1,0,1,0,0,4,4,0,NA
Curtis Jones,7,0.07777777777777778,0,0,0,0,0,0,1,1,0,NA
Dan Burn,90,1,0,0,1,0,0,0,6,6,0,NA
Daniel Amartey,90,1,0,0,0,0,0,0,2,2,0,NA
Daniel James,1,0.011111111111111112,0,0,0,0,0,0,1,1,0,NA
Daniel Podence,45,0.5,1,0,0,0,0,1,7,7,1,NA
Danny Ings,24,0.26666666666666666,1,0,0,0,0,3,8,8,3,NA
Danny Ward,90,1,0,0,0,0,0,0,2,2,0,NA
Darwin Núñez,90,1,0,0,0,1,0,0,1,1,0,NA
David de Gea,90,1,0,0,1,0,0,0,7,7,0,NA
David Raya,90,1,0,0,0,0,0,0,3,3,0,NA
Dean Henderson,90,1,0,0,1,0,0,1,7,7,1,NA
Declan Rice,90,1,0,0,0,0,0,0,2,2,0,NA
Demarai Gray,90,1,1,0,0,0,0,0,7,7,0,NA
Diego Costa,65,0.7222222222222222,0,0,1,1,0,0,1,1,0,NA
Diogo Dalot,21,0.23333333333333334,0,0,0,0,0,0,1,1,0,NA
Dominic Calvert-Lewin,82,0.9111111111111111,0,0,0,0,0,0,2,2,0,NA
Dominic Solanke,90,1,0,0,0,0,0,0,2,2,0,NA
Donny van de Beek,45,0.5,0,0,0,0,0,0,1,1,0,NA
Douglas Luiz,66,0.7333333333333333,0,0,0,0,0,0,2,2,0,NA
Duje Caleta-Car,56,0.6222222222222222,0,0,0,0,0,0,1,1,0,NA
Dwight McNeil,57,0.6333333333333333,0,0,0,0,0,0,1,1,0,NA
Eberechi Eze,73,0.8111111111111111,0,0,0,0,0,0,2,2,0,NA
Eddie Nketiah,90,1,0,0,1,1,0,0,1,1,0,NA
Ederson,90,1,0,0,1,0,0,2,8,8,2,NA
Emerson,12,0.13333333333333333,0,0,0,0,0,0,1,1,0,NA
Emiliano Buendía,90,1,0,0,0,0,0,0,2,2,0,NA
Emiliano Martinez,90,1,0,0,0,0,0,0,2,2,0,NA
Eric Dier,90,1,0,0,1,0,0,0,6,6,0,NA
Erling Haaland,90,1,0,0,1,0,0,0,2,2,0,NA
Estupiñán,90,1,0,0,0,0,0,0,2,2,0,NA
Ethan Pinnock,90,1,0,0,0,0,0,0,2,2,0,NA
Ezri Konsa Ngoyo,90,1,0,0,0,0,0,0,2,2,0,NA
Fabian Schär,90,1,0,0,1,0,0,0,6,6,0,NA
Fabinho,90,1,0,0,0,0,0,0,2,2,0,NA
Flynn Downes,10,0.1111111111111111,0,0,0,0,0,0,1,1,0,NA
Fred,22,0.24444444444444444,0,0,0,0,0,0,1,1,0,NA
Gabriel,90,1,0,0,1,0,0,0,6,6,0,NA
Gabriel Martinelli,90,1,0,0,1,0,0,0,3,3,0,NA
Gavin Bazunu,90,1,0,0,0,0,0,0,2,2,0,NA
Gianluca Scamacca,67,0.7444444444444445,1,0,0,0,0,2,8,8,2,NA
Granit Xhaka,90,1,0,0,1,1,0,0,2,2,0,NA
Hakim Ziyech,78,0.8666666666666667,0,0,0,0,0,0,3,3,0,NA
Harrison Reed,157,1.7444444444444445,0,0,1,0,0,0,5,5,0,NA
Harry Kane,90,1,2,1,1,0,0,3,16,16,3,NA
Harry Maguire,90,1,0,0,1,0,0,1,7,7,1,NA
Harry Toffolo,6,0.06666666666666667,0,0,0,0,0,0,1,1,0,NA
Harry Wilson,46,0.5111111111111111,0,0,0,0,0,0,2,2,0,NA
Harvey Barnes,90,1,0,0,0,0,0,0,2,2,0,NA
Harvey Elliott,45,0.5,0,0,0,1,0,0,0,0,0,NA
Hee-Chan Hwang,58,0.6444444444444445,0,0,0,1,0,0,0,0,0,NA
Hugo Bueno,78,0.8666666666666667,0,0,0,0,0,0,2,2,0,NA
Hugo Lloris,90,1,0,0,1,0,0,0,7,7,0,NA
Ibrahima Konaté,90,1,0,0,0,0,0,0,-1,-1,0,NA
Idrissa Gueye,63,0.7,0,0,0,0,0,0,2,2,0,NA
Ilkay Gündogan,90,1,0,0,1,0,0,0,3,3,0,NA
Illan Meslier,90,1,0,0,0,0,0,0,1,1,0,NA
Issa Diop,8,0.08888888888888889,0,0,0,0,0,0,1,1,0,NA
Ivan Perisic,85,0.9444444444444444,0,1,1,0,0,1,10,10,1,NA
Jack Colback,30,0.3333333333333333,0,0,0,0,0,0,1,1,0,NA
Jack Grealish,30,0.3333333333333333,0,1,0,0,0,0,4,4,0,NA
Jack Harrison,27,0.3,0,1,0,0,0,0,4,4,0,NA
Jack Stacey,27,0.3,0,0,0,1,0,0,0,0,0,NA
Jacob Murphy,22,0.24444444444444444,0,0,0,0,0,0,1,1,0,NA
Jaidon Anthony,90,1,0,0,0,0,0,0,2,2,0,NA
James Tarkowski,90,1,0,0,0,0,0,0,0,0,0,NA
James Ward-Prowse,90,1,0,0,0,0,0,0,2,2,0,NA
Jamie Vardy,90,1,0,0,0,0,0,0,2,2,0,NA
Jarrod Bowen,90,1,0,1,0,0,0,0,5,5,0,NA
Jean-Philippe Mateta,29,0.32222222222222224,0,0,0,0,0,0,1,1,0,NA
Jefferson Lerma,83,0.9222222222222223,0,0,0,0,0,0,2,2,0,NA
Jeffrey Schlupp,60,0.6666666666666666,0,0,0,1,0,0,1,1,0,NA
Jeremy Sarmiento,61,0.6777777777777778,0,1,1,0,0,0,6,6,0,NA
Joachim Andersen,90,1,0,0,0,0,0,0,0,0,0,NA
João Cancelo,45,0.5,0,0,0,0,0,0,1,1,0,NA
João Moutinho,58,0.6444444444444445,0,1,0,0,0,0,4,4,0,NA
João Palhinha,180,2,0,0,1,1,0,0,4,4,0,NA
Joe Ayodele-Aribo,26,0.28888888888888886,0,0,0,0,0,0,1,1,0,NA
Joe Gelhardt,1,0.011111111111111112,0,0,0,0,0,0,1,1,0,NA
Joe Rothwell,6,0.06666666666666667,0,0,0,0,0,0,1,1,0,NA
Joe Willock,86,0.9555555555555556,0,0,1,0,0,0,3,3,0,NA
Joe Worrall,90,1,0,0,1,0,0,0,6,6,0,NA
Joel Matip,45,0.5,0,0,0,0,0,0,1,1,0,NA
Joël Veltman,70,0.7777777777777778,0,0,1,0,0,0,6,6,0,NA
Joel Ward,90,1,0,0,0,0,0,0,0,0,0,NA
Joelinton,90,1,0,0,1,1,0,0,2,2,0,NA
John Stones,90,1,0,0,1,0,0,3,9,9,3,NA
