player_name,mins,90s,Goals,Assists,Clean_Sheets,Yellow_Cards,Red_Cards,Bonus_Points,Total_Points,Average_Points,Points_Standard_Deviation
Rúben Vinagre,24,0.26666666666666666,0,0,0,0,0,0,2,1,0
Ryan Christie,748,8.311111111111112,1,0,1,1,0,2,29,1.9333333333333333,2.051712409068047
Ryan Fraser,308,3.422222222222222,0,0,1,1,0,0,11,1.375,0.5175491695067657
Ryan Fredericks,449,4.988888888888889,0,0,0,1,0,0,9,1.125,0.3535533905932738
Ryan Sessegnon,685,7.611111111111111,2,1,1,3,0,0,32,2.4615384615384617,2.5038431998091992
Ryan Yates,1212,13.466666666666667,0,2,3,4,0,0,33,2.2,1.1464230084422218
Said Benrahma,925,10.277777777777779,3,1,1,0,0,0,43,2.8666666666666667,2.445598573141631
Salomón Rondón,103,1.1444444444444444,0,0,0,0,0,0,7,1,0
Sam Greenwood,274,3.0444444444444443,1,2,0,1,0,1,19,2.7142857142857144,2.984084768360628
Sam Surridge,167,1.8555555555555556,0,0,0,1,0,0,10,1,0.4714045207910317
Saman Ghoddos,79,0.8777777777777778,0,0,0,0,0,0,8,1,0
Samuel Edozie,309,3.433333333333333,0,0,0,0,0,0,12,1.2,0.4216370213557839
Sasa Kalajdzic,45,0.5,0,0,0,0,0,0,1,1,NA
